subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
27,short,SB-XT-RPh----,0.8375,4.4,80,1.325,3.9375,0.825,0.025,0.48749999999999993
27,long,LBE-T-RPhCL--,1.0625,7.8375,80,1.6625,9.2625,0.9125,0.0125,0.6000000000000001
27,combined,C-EXT-RPHC-UK,0.95,6.11875,160,1.49375,6.55625,0.86875,0.01875,0.54375
93,short,SB-XT-RPh----,0.575,3.4875,80,1.075,3.9375,0.7625,0.025,0.5
93,long,LBE-T-RPhCL--,1.15,5.5875,80,1.5625,9.1125,0.8875,0.0125,0.4125000000000001
93,combined,C-EXT-RPHC-UK,0.8625,4.5375,160,1.31875,6.49375,0.825,0.01875,0.45625000000000004
17,short,SB-XT-RPh----,1.0,3.85,80,0.975,3.9375,0.7375,0.025,-0.025000000000000022
17,long,LBE-T-RPhCL--,1.2,8.2625,80,1.5625,9.15,0.8875,0.0125,0.36250000000000004
17,combined,C-EXT-RPHC-UK,1.1,6.05625,160,1.26875,6.5875,0.8125,0.01875,0.16874999999999996
7,short,SB-XT-RPh----,1.0125,3.2875,80,1.275,3.9375,0.8125,0.025,0.26249999999999996
7,long,LBE-T-RPhCL--,1.05,7.525,80,1.6125,9.1,0.9,0.0125,0.5625
7,combined,C-EXT-RPHC-UK,1.03125,5.40625,160,1.44375,6.4875,0.85625,0.01875,0.4125000000000001
12,short,SB-XT-RPh----,0.75,3.875,80,1.175,3.9625,0.7875,0.025,0.42500000000000004
12,long,LBE-T-RPhCL--,1.2,7.4125,80,1.6625,9.0625,0.9125,0.0125,0.46250000000000013
12,combined,C-EXT-RPHC-UK,0.975,5.64375,160,1.41875,6.6125,0.85,0.01875,0.44375
103,short,SB-XT-RPh----,0.875,3.6875,80,1.125,3.925,0.775,0.025,0.25
103,long,LBE-T-RPhCL--,1.1625,9.6375,80,1.6625,9.0875,0.9125,0.0125,0.5
103,combined,C-EXT-RPHC-UK,1.01875,6.6625,160,1.39375,6.56875,0.84375,0.01875,0.375
48,short,SB-XT-RPh----,0.8625,3.75,80,1.125,3.9625,0.775,0.025,0.26249999999999996
48,long,LBE-T-RPhCL--,1.0625,5.675,80,1.6625,9.0,0.9125,0.0125,0.6000000000000001
48,combined,C-EXT-RPHC-UK,0.9625,4.7125,160,1.39375,6.5625,0.84375,0.01875,0.43125
43,short,SB-XT-RPh----,0.925,4.5,80,1.325,3.9125,0.825,0.025,0.3999999999999999
43,long,LBE-T-RPhCL--,0.8875,9.0875,80,1.6625,9.1875,0.9125,0.0125,0.7750000000000001
43,combined,C-EXT-RPHC-UK,0.90625,6.79375,160,1.49375,6.575,0.86875,0.01875,0.5874999999999999
100,short,SB-XT-RPh----,0.725,3.8625,80,1.225,3.9875,0.8,0.025,0.5000000000000001
100,long,LBE-T-RPhCL--,1.0,7.4,80,1.6625,9.2875,0.9125,0.0125,0.6625000000000001
100,combined,C-EXT-RPHC-UK,0.8625,5.63125,160,1.44375,6.46875,0.85625,0.01875,0.58125
45,short,SB-XT-RPh----,0.85,4.0875,80,1.225,3.9375,0.8,0.025,0.3750000000000001
45,long,LBE-T-RPhCL--,1.45,6.1875,80,1.6625,9.225,0.9125,0.0125,0.21250000000000013
45,combined,C-EXT-RPHC-UK,1.15,5.1375,160,1.44375,6.55625,0.85625,0.01875,0.2937500000000002
73,short,SB-XT-RPh----,1.175,3.65,80,1.125,3.9625,0.775,0.025,-0.050000000000000044
73,long,LBE-T-RPhCL--,1.3,5.25,80,1.6125,9.1375,0.9,0.0125,0.3125
73,combined,C-EXT-RPHC-UK,1.2375,4.45,160,1.36875,6.53125,0.8375,0.01875,0.13124999999999987
24,short,SB-XT-RPh----,0.75,3.6,80,1.225,3.9875,0.8,0.025,0.4750000000000001
24,long,LBE-T-RPhCL--,1.075,7.5125,80,1.6625,9.1625,0.9125,0.0125,0.5875000000000001
24,combined,C-EXT-RPHC-UK,0.9125,5.55625,160,1.44375,6.56875,0.85625,0.01875,0.5312500000000001
71,short,SB-XT-RPh----,1.0,3.95,80,1.275,3.9375,0.8125,0.025,0.2749999999999999
71,long,LBE-T-RPhCL--,1.0,4.7625,80,1.6125,9.05,0.9,0.0125,0.6125
71,combined,C-EXT-RPHC-UK,1.0,4.35625,160,1.44375,6.4875,0.85625,0.01875,0.4437500000000001
76,short,SB-XT-RPh----,0.8625,4.15,80,1.175,3.975,0.7875,0.025,0.3125
