subject_ID,fit,horizon,n_games,uniform_reward,informed_reward,uniform_draws,informed_draws,uniform_correct,informed_correct,uniform_missed,informed_missed
38,long,long,80,1.6625,1.6625,9.0375,9.3,0.9125,0.9125,0.0125,0.0125
81,long,long,80,1.6125,1.6125,8.8,9.075,0.9,0.9,0.0125,0.0125
77,long,long,80,1.6625,1.6625,9.0125,9.0375,0.9125,0.9125,0.0125,0.0125
20,long,long,80,1.6125,1.6125,9.025,9.15,0.9,0.9,0.0125,0.0125
28,combined,short,80,1.225,1.225,3.9125,3.975,0.8,0.8,0.025,0.025
10,combined,short,80,1.125,1.125,3.925,3.95,0.775,0.775,0.025,0.025
53,combined,short,80,1.225,1.225,3.9125,3.9125,0.8,0.8,0.025,0.025
39,combined,short,80,1.275,1.275,3.9375,3.95,0.8125,0.8125,0.025,0.025
37,combined,short,80,1.075,1.075,3.925,3.9375,0.7625,0.7625,0.025,0.025
1,combined,short,80,1.225,1.225,4.0,3.975,0.8,0.8,0.025,0.025
18,combined,short,80,1.275,1.275,3.925,3.95,0.8125,0.8125,0.025,0.025
8,combined,short,80,1.175,1.175,3.925,3.95,0.7875,0.7875,0.025,0.025
32,combined,short,80,1.225,1.225,3.9625,3.9125,0.8,0.8,0.025,0.025
68,combined,short,80,1.375,1.325,3.9,3.9625,0.8375,0.825,0.025,0.025
70,combined,short,80,1.275,1.275,4.025,3.9875,0.8125,0.8125,0.025,0.025
44,combined,short,80,1.175,1.125,3.95,3.9875,0.7875,0.775,0.025,0.025
14,combined,short,80,1.325,1.325,3.95,3.9625,0.825,0.825,0.025,0.025
78,combined,short,80,1.225,1.225,3.95,4.0,0.8,0.8,0.025,0.025
84,combined,short,80,1.125,1.125,3.925,3.9375,0.775,0.775,0.025,0.025
55,combined,short,80,1.025,1.025,3.9625,3.95,0.75,0.75,0.025,0.025
34,combined,short,80,1.175,1.175,3.95,3.9875,0.7875,0.7875,0.025,0.025
74,combined,short,80,1.225,1.225,4.0125,3.9625,0.8,0.8,0.025,0.025
65,combined,short,80,1.225,1.175,3.925,3.9125,0.8,0.7875,0.025,0.025
