subject_ID,fit,task,human,human_draws,n_games,fitted,fitted_draws,fitted_correct,fitted_missed,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,normative_matched,normative_matched_draws,normative_matched_correct,normative_matched_missed,no_regulation,no_regulation_draws,no_regulation_correct,no_regulation_missed,no_belief_bias,no_belief_bias_draws,no_belief_bias_correct,no_belief_bias_missed,no_subjective_cost,no_subjective_cost_draws,no_subjective_cost_correct,no_subjective_cost_missed,no_exaggeration,no_exaggeration_draws,no_exaggeration_correct,no_exaggeration_missed,no_hazard_lapse,no_hazard_lapse_draws,no_hazard_lapse_correct,no_hazard_lapse_missed,gap_full,gap_matched,model_error
78,combined,C-EXT-RPHC-UK,0.9625,6.9625,160,0.8953125,6.902500000000001,0.6909375,0.1315625,1.44375,6.475,0.85625,0.01875,0.8637499999999999,2.428125,0.714375,0.00625,0.8890625,2.348125,0.7212500000000001,0.0040625,,,,,0.961875,6.88875,0.70875,0.12687500000000002,0.9390625,6.95,0.6993750000000001,0.1415625,,,,,0.48125000000000007,-0.09875000000000012,-0.06718750000000007
84,short,SB-XT-RPh----,0.7875,3.8375,80,0.8856249999999999,3.830625,0.706875,0.058125,1.125,3.95,0.775,0.025,0.108125,1.534375,0.52625,0.003125,0.613125,2.831875,0.618125,0.140625,0.9375,3.826875,0.721875,0.05,0.170625,3.4887500000000005,0.538125,0.018125,,,,,,,,,0.3375,-0.679375,0.0981249999999999
84,long,LBE-T-RPhCL--,1.0625,7.6375,80,1.208125,7.6075,0.8018750000000001,0.000625,1.6625,8.9875,0.9125,0.0125,0.12250000000000001,1.491875,0.530625,0.0,0.798125,2.83,0.695625,0.015625,1.200625,7.589375000000001,0.8,0.000625,0.3225,6.755625,0.580625,0.0,1.2175,7.648125,0.804375,0.0,1.128125,7.226875,0.781875,0.000625,0.6000000000000001,-0.94,0.1456249999999999
84,combined,C-EXT-RPHC-UK,0.925,5.7375,160,1.028125,5.747187500000001,0.743125,0.055624999999999994,1.39375,6.55,0.84375,0.01875,0.9240625000000001,2.89375,0.729375,0.006562499999999999,0.905,2.9162500000000002,0.7234375,0.01125,,,,,0.9971875000000001,5.730625000000001,0.735,0.0571875,1.0393750000000002,5.7578125,0.7462500000000001,0.05437500000000001,,,,,0.46875,-0.0009374999999999245,0.10312499999999991
55,short,SB-XT-RPh----,0.6875,3.7125,80,0.649375,3.7649999999999997,0.624375,0.151875,1.025,3.9,0.75,0.025,-0.026875,1.503125,0.491875,0.005625,0.521875,2.88125,0.58875,0.166875,0.665625,3.7443749999999993,0.6275,0.155625,0.024375,2.8975,0.5025,0.014375000000000002,,,,,,,,,0.3374999999999999,-0.714375,-0.038124999999999964
55,long,LBE-T-RPhCL--,1.0625,4.25,80,0.974375,4.27375,0.7425,0.004375,1.6125,8.925,0.9,0.0125,-0.02,1.525625,0.495,0.0,0.77125,2.518125,0.690625,0.00875,0.9574999999999999,4.130625,0.738125,0.005,0.0025,3.08625,0.500625,0.0,1.0125,4.145,0.751875,0.005,0.95,3.9643749999999995,0.736875,0.0025,0.55,-1.0825,-0.08812500000000001
55,combined,C-EXT-RPHC-UK,0.875,3.98125,160,0.7840624999999999,3.984375,0.6775,0.0740625,1.31875,6.41875,0.825,0.01875,0.4265625,1.684375,0.6059375,0.0028125,0.6440625,2.3371874999999998,0.6553125,0.0228125,,,,,0.5590624999999999,3.2771875,0.6346875000000001,0.0203125,0.8021875000000002,3.990625,0.6821875,0.0734375,,,,,0.4437500000000001,-0.4484375,-0.09093750000000012
34,short,SB-XT-RPh----,1.45,3.7375,80,0.93875,3.799375,0.7125,0.08875,1.175,3.9375,0.7875,0.025,0.05437499999999999,1.51625,0.5125,0.004375,0.586875,3.179375,0.59375,0.21187499999999998,0.8768749999999998,3.8224999999999993,0.69375,0.10187499999999998,0.08125,3.3431249999999997,0.51625,0.01625,,,,,,,,,-0.2749999999999999,-1.395625,-0.51125
34,long,LBE-T-RPhCL--,1.2625,7.6625,80,1.054375,7.53125,0.755625,0.031875,1.6125,9.075,0.9,0.0125,0.027500000000000004,1.488125,0.506875,0.0,0.8256250000000002,3.026875,0.70125,0.020625,1.1675,7.578125,0.785625,0.025,0.0325,6.069375,0.508125,0.0,1.1575,7.8225,0.780625,0.035,1.1,6.760625,0.77125,0.015,0.3500000000000001,-1.2349999999999999,-0.2081249999999999
34,combined,C-EXT-RPHC-UK,1.35625,5.7,160,1.0090625,5.725624999999999,0.7381249999999999,0.056562499999999995,1.39375,6.4125,0.84375,0.01875,0.871875,2.7775,0.7159375,0.008125,0.8540625000000001,2.6575,0.7109375,0.0103125,,,,,1.0081250000000002,5.7071875,0.7371874999999999,0.059375,1.0231249999999998,5.7140625,0.7409375,0.059375,,,,,0.03750000000000009,-0.484375,-0.3471875
