fit,subject_ID,seed,human,model,n_games
short,84,34,63.0,85.0,80
short,84,35,63.0,77.0,80
short,84,36,63.0,61.0,80
short,84,37,63.0,72.0,80
short,84,38,63.0,91.0,80
short,84,39,63.0,74.0,80
short,84,40,63.0,100.0,80
short,84,41,63.0,70.0,80
short,84,42,63.0,71.0,80
short,84,43,63.0,57.0,80
short,84,44,63.0,66.0,80
short,84,45,63.0,78.0,80
short,84,46,63.0,63.0,80
short,84,47,63.0,58.0,80
short,84,48,63.0,78.0,80
short,84,49,63.0,81.0,80
short,55,0,55.0,68.0,80
short,55,1,55.0,55.0,80
short,55,2,55.0,42.0,80
short,55,3,55.0,31.0,80
short,55,4,55.0,34.0,80
short,55,5,55.0,53.0,80
short,55,6,55.0,43.0,80
short,55,7,55.0,67.0,80
short,55,8,55.0,60.0,80
short,55,9,55.0,49.0,80
short,55,10,55.0,64.0,80
short,55,11,55.0,46.0,80
short,55,12,55.0,32.0,80
short,55,13,55.0,37.0,80
short,55,14,55.0,67.0,80
short,55,15,55.0,53.0,80
short,55,16,55.0,26.0,80
short,55,17,55.0,50.0,80
short,55,18,55.0,53.0,80
short,55,19,55.0,42.0,80
short,55,20,55.0,64.0,80
short,55,21,55.0,55.0,80
short,55,22,55.0,40.0,80
short,55,23,55.0,31.0,80
short,55,24,55.0,42.0,80
short,55,25,55.0,46.0,80
short,55,26,55.0,62.0,80
short,55,27,55.0,60.0,80
short,55,28,55.0,49.0,80
short,55,29,55.0,68.0,80
short,55,30,55.0,61.0,80
short,55,31,55.0,41.0,80
short,55,32,55.0,37.0,80
short,55,33,55.0,75.0,80
short,55,34,55.0,34.0,80
short,55,35,55.0,60.0,80
short,55,36,55.0,46.0,80
short,55,37,55.0,73.0,80
short,55,38,55.0,59.0,80
short,55,39,55.0,42.0,80
short,55,40,55.0,68.0,80
short,55,41,55.0,46.0,80
short,55,42,55.0,43.0,80
short,55,43,55.0,44.0,80
short,55,44,55.0,55.0,80
short,55,45,55.0,40.0,80
short,55,46,55.0,54.0,80
short,55,47,55.0,43.0,80
short,55,48,55.0,70.0,80
short,55,49,55.0,57.0,80
short,34,0,116.0,66.0,80
short,34,1,116.0,83.0,80
short,34,2,116.0,60.0,80
short,34,3,116.0,79.0,80
short,34,4,116.0,62.0,80
short,34,5,116.0,77.0,80
short,34,6,116.0,58.0,80
short,34,7,116.0,71.0,80
short,34,8,116.0,52.0,80
short,34,9,116.0,88.0,80
short,34,10,116.0,88.0,80
short,34,11,116.0,64.0,80
short,34,12,116.0,60.0,80
short,34,13,116.0,83.0,80
short,34,14,116.0,80.0,80
short,34,15,116.0,74.0,80
short,34,16,116.0,67.0,80
short,34,17,116.0,69.0,80
short,34,18,116.0,52.0,80
short,34,19,116.0,64.0,80
short,34,20,116.0,69.0,80
short,34,21,116.0,57.0,80
short,34,22,116.0,75.0,80
short,34,23,116.0,73.0,80
short,34,24,116.0,66.0,80
short,34,25,116.0,57.0,80
short,34,26,116.0,78.0,80
short,34,27,116.0,42.0,80
short,34,28,116.0,77.0,80
short,34,29,116.0,60.0,80
short,34,30,116.0,63.0,80
short,34,31,116.0,63.0,80
short,34,32,116.0,67.0,80
short,34,33,116.0,67.0,80
short,34,34,116.0,60.0,80
short,34,35,116.0,83.0,80
short,34,36,116.0,69.0,80
short,34,37,116.0,90.0,80
short,34,38,116.0,85.0,80
short,34,39,116.0,72.0,80
short,34,40,116.0,99.0,80
short,34,41,116.0,76.0,80
short,34,42,116.0,71.0,80
short,34,43,116.0,86.0,80
short,34,44,116.0,81.0,80
short,34,45,116.0,67.0,80
short,34,46,116.0,62.0,80
short,34,47,116.0,58.0,80
short,34,48,116.0,66.0,80
short,34,49,116.0,74.0,80
short,74,0,82.0,65.0,80
short,74,1,82.0,60.0,80
short,74,2,82.0,62.0,80
short,74,3,82.0,71.0,80
short,74,4,82.0,74.0,80
short,74,5,82.0,53.0,80
short,74,6,82.0,66.0,80
short,74,7,82.0,61.0,80
short,74,8,82.0,55.0,80
short,74,9,82.0,52.0,80
short,74,10,82.0,74.0,80
short,74,11,82.0,83.0,80
short,74,12,82.0,69.0,80
short,74,13,82.0,87.0,80
short,74,14,82.0,53.0,80
short,74,15,82.0,68.0,80
short,74,16,82.0,80.0,80
short,74,17,82.0,46.0,80
